Geo	Treatment	Time	Control	Bleomycin	Replicate
T0_UNTR_R1.1	untreated	3	1	1	1
T0_UNTR_R1.2	untreated	3	1	1	1
T0_UNTR_R1.3	untreated	3	1	1	1
T3_CTRL_R2.4	vehicle-treated	3	1	0	2
T3_CTRL_R2.5	vehicle-treated	3	1	0	2
T3_CTRL_R2.6	vehicle-treated	3	1	0	2
T3_CTRL_R2.7	vehicle-treated	3	1	0	2
T3_CTRL_R2.8	vehicle-treated	3	1	0	2
T3_BLEO_R3.9	bleomycin-treated	3	0	1	3
T3_BLEO_R3.10	bleomycin-treated	3	0	1	3
T3_BLEO_R3.11	bleomycin-treated	3	0	1	3
T3_BLEO_R3.12	bleomycin-treated	3	0	1	3
T3_BLEO_R3.13	bleomycin-treated	3	0	1	3
T7_CTRL_R4.14	vehicle-treated	7	1	0	4
T7_CTRL_R4.15	vehicle-treated	7	1	0	4
T7_CTRL_R4.16	vehicle-treated	7	1	0	4
T7_CTRL_R4.17	vehicle-treated	7	1	0	4
T7_CTRL_R4.18	vehicle-treated	7	1	0	4
T7_BLEO_R5.19	bleomycin-treated	7	0	1	5
T7_BLEO_R5.20	bleomycin-treated	7	0	1	5
T7_BLEO_R5.21	bleomycin-treated	7	0	1	5
T7_BLEO_R5.22	bleomycin-treated	7	0	1	5
T7_BLEO_R5.23	bleomycin-treated	7	0	1	5
T14_CTRL_R6.24	vehicle-treated	14	1	0	6
T14_CTRL_R6.25	vehicle-treated	14	1	0	6
T14_CTRL_R6.26	vehicle-treated	14	1	0	6
T14_CTRL_R6.27	vehicle-treated	14	1	0	6
T14_BLEO_R7.28	bleomycin-treated	14	0	1	7
T14_BLEO_R7.29	bleomycin-treated	14	0	1	7
T14_BLEO_R7.30	bleomycin-treated	14	0	1	7
T14_BLEO_R7.31	bleomycin-treated	14	0	1	7
T14_BLEO_R7.32	bleomycin-treated	14	0	1	7
T21_CTRL_R8.33	vehicle-treated	21	1	0	8
T21_CTRL_R8.34	vehicle-treated	21	1	0	8
T21_CTRL_R8.35	vehicle-treated	21	1	0	8
T21_CTRL_R8.36	vehicle-treated	21	1	0	8
T21_CTRL_R8.37	vehicle-treated	21	1	0	8
T21_BLEO_R9.38	bleomycin-treated	21	0	1	9
T21_BLEO_R9.39	bleomycin-treated	21	0	1	9
T21_BLEO_R9.40	bleomycin-treated	21	0	1	9
T21_BLEO_R9.41	bleomycin-treated	21	0	1	9
T21_BLEO_R9.42	bleomycin-treated	21	0	1	9
T28_CTRL_R10.43	vehicle-treated	28	1	0	10
T28_CTRL_R10.44	vehicle-treated	28	1	0	10
T28_CTRL_R10.45	vehicle-treated	28	1	0	10
T28_CTRL_R10.46	vehicle-treated	28	1	0	10
T28_CTRL_R10.47	vehicle-treated	28	1	0	10
T28_BLEO_R11.48	bleomycin-treated	28	0	1	11
T28_BLEO_R11.49	bleomycin-treated	28	0	1	11
T28_BLEO_R11.50	bleomycin-treated	28	0	1	11
T28_BLEO_R11.51	bleomycin-treated	28	0	1	11
T28_BLEO_R11.52	bleomycin-treated	28	0	1	11
T42_CTRL_R12.53	vehicle-treated	42	1	0	12
T42_CTRL_R12.54	vehicle-treated	42	1	0	12
T42_CTRL_R12.55	vehicle-treated	42	1	0	12
T42_CTRL_R12.56	vehicle-treated	42	1	0	12
T42_CTRL_R12.57	vehicle-treated	42	1	0	12
T42_BLEO_R13.58	bleomycin-treated	42	0	1	13
T42_BLEO_R13.59	bleomycin-treated	42	0	1	13
T42_BLEO_R13.60	bleomycin-treated	42	0	1	13
T42_BLEO_R13.61	bleomycin-treated	42	0	1	13
T42_BLEO_R13.62	bleomycin-treated	42	0	1	13
T56_CTRL_R14.63	vehicle-treated	56	1	0	14
T56_CTRL_R14.64	vehicle-treated	56	1	0	14
T56_CTRL_R14.65	vehicle-treated	56	1	0	14
T56_CTRL_R14.66	vehicle-treated	56	1	0	14
T56_CTRL_R14.67	vehicle-treated	56	1	0	14
T56_BLEO_R15.68	bleomycin-treated	56	0	1	15
T56_BLEO_R15.69	bleomycin-treated	56	0	1	15
T56_BLEO_R15.70	bleomycin-treated	56	0	1	15
T56_BLEO_R15.71	bleomycin-treated	56	0	1	15
T56_BLEO_R15.72	bleomycin-treated	56	0	1	15
