"T0_UNTR_R1-1"	"GSM1179103"
"T0_UNTR_R1-2"	"GSM1179136"
"T0_UNTR_R1-3"	"GSM1179149"
"T3_CTRL_R2-4"	"GSM1179095"
"T3_CTRL_R2-5"	"GSM1179102"
"T3_CTRL_R2-6"	"GSM1179107"
"T3_CTRL_R2-7"	"GSM1179110"
"T3_CTRL_R2-8"	"GSM1179137"
"T3_BLEO_R3-9"	"GSM1179081"
"T3_BLEO_R3-10"	"GSM1179085"
"T3_BLEO_R3-11"	"GSM1179099"
"T3_BLEO_R3-12"	"GSM1179139"
"T3_BLEO_R3-13"	"GSM1179148"
"T7_CTRL_R4-14"	"GSM1179089"
"T7_CTRL_R4-15"	"GSM1179093"
"T7_CTRL_R4-16"	"GSM1179108"
"T7_CTRL_R4-17"	"GSM1179113"
"T7_CTRL_R4-18"	"GSM1179117"
"T7_BLEO_R5-19"	"GSM1179091"
"T7_BLEO_R5-20"	"GSM1179114"
"T7_BLEO_R5-21"	"GSM1179123"
"T7_BLEO_R5-22"	"GSM1179127"
"T7_BLEO_R5-23"	"GSM1179133"
"T14_CTRL_R6-24"	"GSM1179088"
"T14_CTRL_R6-25"	"GSM1179092"
"T14_CTRL_R6-26"	"GSM1179129"
"T14_CTRL_R6-27"	"GSM1179134"
"T14_BLEO_R7-28"	"GSM1179100"
"T14_BLEO_R7-29"	"GSM1179106"
"T14_BLEO_R7-30"	"GSM1179109"
"T14_BLEO_R7-31"	"GSM1179132"
"T14_BLEO_R7-32"	"GSM1179144"
"T21_CTRL_R8-33"	"GSM1179080"
"T21_CTRL_R8-34"	"GSM1179083"
"T21_CTRL_R8-35"	"GSM1179112"
"T21_CTRL_R8-36"	"GSM1179126"
"T21_CTRL_R8-37"	"GSM1179130"
"T21_BLEO_R9-38"	"GSM1179082"
"T21_BLEO_R9-39"	"GSM1179084"
"T21_BLEO_R9-40"	"GSM1179125"
"T21_BLEO_R9-41"	"GSM1179142"
"T21_BLEO_R9-42"	"GSM1179147"
"T28_CTRL_R10-43"	"GSM1179090"
"T28_CTRL_R10-44"	"GSM1179097"
"T28_CTRL_R10-45"	"GSM1179118"
"T28_CTRL_R10-46"	"GSM1179140"
"T28_CTRL_R10-47"	"GSM1179145"
"T28_BLEO_R11-48"	"GSM1179096"
"T28_BLEO_R11-49"	"GSM1179119"
"T28_BLEO_R11-50"	"GSM1179124"
"T28_BLEO_R11-51"	"GSM1179138"
"T28_BLEO_R11-52"	"GSM1179150"
"T42_CTRL_R12-53"	"GSM1179094"
"T42_CTRL_R12-54"	"GSM1179098"
"T42_CTRL_R12-55"	"GSM1179101"
"T42_CTRL_R12-56"	"GSM1179104"
"T42_CTRL_R12-57"	"GSM1179121"
"T42_BLEO_R13-58"	"GSM1179087"
"T42_BLEO_R13-59"	"GSM1179111"
"T42_BLEO_R13-60"	"GSM1179122"
"T42_BLEO_R13-61"	"GSM1179128"
"T42_BLEO_R13-62"	"GSM1179131"
"T56_CTRL_R14-63"	"GSM1179086"
"T56_CTRL_R14-64"	"GSM1179135"
"T56_CTRL_R14-65"	"GSM1179141"
"T56_CTRL_R14-66"	"GSM1179143"
"T56_CTRL_R14-67"	"GSM1179146"
"T56_BLEO_R15-68"	"GSM1179079"
"T56_BLEO_R15-69"	"GSM1179105"
"T56_BLEO_R15-70"	"GSM1179115"
"T56_BLEO_R15-71"	"GSM1179116"
"T56_BLEO_R15-72"	"GSM1179120"
